country,hotel,total_bookings,average_adr
ABW,City Hotel,2,128.34
AGO,City Hotel,338,115.00437869822485
AGO,Resort Hotel,24,146.95916666666668
AIA,City Hotel,1,265
ALB,City Hotel,9,84.1211111111111
ALB,Resort Hotel,3,85.05
AND,City Hotel,2,95
AND,Resort Hotel,5,245.714
ARE,City Hotel,40,124.442
ARE,Resort Hotel,11,176.01181818181817
ARG,City Hotel,157,116.28433121019108
ARG,Resort Hotel,57,121.83052631578947
ARM,City Hotel,6,115.86666666666666
ARM,Resort Hotel,2,52.349999999999994
ASM,City Hotel,1,72.07
ATA,City Hotel,2,134.25
ATF,City Hotel,1,126
AUS,City Hotel,339,115.61356932153393
AUS,Resort Hotel,87,121.30183908045977
AUT,City Hotel,1053,110.43846153846154
AUT,Resort Hotel,210,85.18519047619047
AZE,City Hotel,14,102.975
AZE,Resort Hotel,3,167.46666666666667
BDI,Resort Hotel,1,46
BEL,City Hotel,1894,118.57253959873285
BEL,Resort Hotel,448,93.87303571428572
BEN,City Hotel,3,123.2
BFA,City Hotel,1,80.3
BGD,City Hotel,12,149.8025
BGR,City Hotel,70,113.83571428571429
BGR,Resort Hotel,5,84.7
BHR,City Hotel,4,134.1625
BHR,Resort Hotel,1,190
BHS,Resort Hotel,1,50.85
BIH,City Hotel,12,115.82916666666667
BIH,Resort Hotel,1,50
BLR,City Hotel,19,103.43157894736842
BLR,Resort Hotel,7,103.01285714285714
BOL,City Hotel,10,115
BRA,City Hotel,1794,111.29696209587514
BRA,Resort Hotel,430,109.7886511627907
BRB,City Hotel,4,95
BWA,Resort Hotel,1,118.5
CAF,City Hotel,2,114.71000000000001
CAF,Resort Hotel,3,56.300000000000004
CHE,City Hotel,1295,118.393722007722
CHE,Resort Hotel,435,132.06036781609194
CHL,City Hotel,48,115.64291666666666
CHL,Resort Hotel,17,128.06117647058824
CHN,City Hotel,865,114.176774566474
CHN,Resort Hotel,134,87.05589552238806
CIV,City Hotel,4,150.625
CIV,Resort Hotel,2,58.5
CMR,City Hotel,8,99.05125
CMR,Resort Hotel,2,45.43
CN,City Hotel,569,113.94782073813708
CN,Resort Hotel,710,104.4735352112676
COL,City Hotel,55,125.52945454545454
COL,Resort Hotel,16,106.30875
COM,City Hotel,1,259
COM,Resort Hotel,1,71.61
CPV,City Hotel,19,98.98473684210526
CPV,Resort Hotel,5,64
CRI,City Hotel,17,109.96764705882353
CRI,Resort Hotel,2,36.26
CUB,City Hotel,4,129.2325
CUB,Resort Hotel,4,69.5
CYM,Resort Hotel,1,40.5
CYP,City Hotel,43,94.67302325581396
CYP,Resort Hotel,8,119.875
CZE,City Hotel,144,113.1348611111111
CZE,Resort Hotel,27,101.75333333333333
DEU,City Hotel,6084,108.65591387245233
DEU,Resort Hotel,1203,82.85667497921862
DJI,Resort Hotel,1,273
DMA,City Hotel,1,105.3
DNK,City Hotel,370,120.37254054054054
DNK,Resort Hotel,65,101.70276923076923
DOM,City Hotel,11,136.0218181818182
DOM,Resort Hotel,3,97.76666666666667
DZA,City Hotel,91,109.99593406593407
DZA,Resort Hotel,12,131.79916666666668
ECU,City Hotel,25,135.122
ECU,Resort Hotel,2,53.165
EGY,City Hotel,31,117.49225806451614
EGY,Resort Hotel,1,122.89
ESP,City Hotel,4611,114.42443070917372
ESP,Resort Hotel,3957,119.99142784938084
EST,City Hotel,50,126.3862
EST,Resort Hotel,33,95.40757575757576
ETH,City Hotel,3,101.26
FIN,City Hotel,296,115.27057432432433
FIN,Resort Hotel,151,82.00331125827815
FJI,Resort Hotel,1,135.33
FRA,City Hotel,8804,111.94952407996365
FRA,Resort Hotel,1611,96.87170701427685
FRO,City Hotel,5,155.2
GAB,City Hotel,4,143.375
GBR,City Hotel,5314,115.46496800903275
GBR,Resort Hotel,6813,80.87216791428152
GEO,City Hotel,11,103.27090909090909
GEO,Resort Hotel,11,234.76090909090908
GGY,City Hotel,2,117.9
GGY,Resort Hotel,1,65
GHA,City Hotel,4,126.45
GIB,City Hotel,5,148.814
