country,hotel,lost_revenue,bookings_cancelled
AGO,City Hotel,264809.25,198
AGO,Resort Hotel,8307.92,7
ALB,City Hotel,327,1
ALB,Resort Hotel,565,1
AND,City Hotel,380,2
AND,Resort Hotel,3779.99,3
ARE,City Hotel,23271.079999999998,35
ARE,Resort Hotel,4857.4,8
ARG,City Hotel,19258.25,45
ARG,Resort Hotel,5081.99,9
ARM,City Hotel,497.1,2
AUS,City Hotel,28850.65,92
AUS,Resort Hotel,9308.76,15
AUT,City Hotel,85981.73,196
AUT,Resort Hotel,18796.79,34
AZE,City Hotel,3082.18,8
AZE,Resort Hotel,1521.6,1
BEL,City Hotel,187266.7,415
BEL,Resort Hotel,32740.1,59
BEN,City Hotel,864,3
BGD,City Hotel,5077.94,9
BGR,City Hotel,5944.91,12
BHR,City Hotel,1303.8,3
BHR,Resort Hotel,380,1
BIH,City Hotel,1308,3
BLR,City Hotel,2995.0299999999997,6
BLR,Resort Hotel,3043.54,3
BRA,City Hotel,348809.01,729
BRA,Resort Hotel,37415.73,101
CHE,City Hotel,139308.21,316
CHE,Resort Hotel,106352.92,112
CHL,City Hotel,6002.45,13
CHL,Resort Hotel,1051.99,3
CHN,City Hotel,166757.97,453
CHN,Resort Hotel,2290,9
CIV,City Hotel,1426,2
CN,City Hotel,66609.95,158
CN,Resort Hotel,57970.28,96
COL,City Hotel,7334.9400000000005,19
COL,Resort Hotel,706.8,4
CPV,City Hotel,11761.480000000001,12
CRI,City Hotel,380.70000000000005,1
CYP,City Hotel,2953.15,9
CYP,Resort Hotel,722,2
CZE,City Hotel,15312.76,33
CZE,Resort Hotel,1403.2,4
DEU,City Hotel,455576.67,1072
DEU,Resort Hotel,100666.43,146
DNK,City Hotel,53972.65,104
DNK,Resort Hotel,4885.54,5
DOM,City Hotel,5491.700000000001,8
DZA,City Hotel,10967.66,16
DZA,Resort Hotel,4251.97,5
ECU,City Hotel,4902,8
EGY,City Hotel,7131.16,11
ESP,City Hotel,508760.28,1326
ESP,Resort Hotel,548568.49,851
EST,City Hotel,9789.02,14
EST,Resort Hotel,2081.62,4
ETH,City Hotel,401.2,1
FIN,City Hotel,26912,53
FIN,Resort Hotel,5676,16
FJI,Resort Hotel,405.99,1
FRA,City Hotel,773374.72,1723
FRA,Resort Hotel,154442.04,211
FRO,City Hotel,8029,4
GAB,City Hotel,942,2
GBR,City Hotel,640545.05,1562
GBR,Resort Hotel,531627.14,891
GEO,City Hotel,4391.22,8
GEO,Resort Hotel,8480,7
GGY,City Hotel,707.4000000000001,2
GGY,Resort Hotel,65,1
GHA,City Hotel,2317.2,2
GIB,City Hotel,1872.21,5
GIB,Resort Hotel,4430.01,6
GLP,City Hotel,840,2
GNB,City Hotel,523.6,1
GRC,City Hotel,15915.67,33
GRC,Resort Hotel,280.79999999999995,2
HKG,City Hotel,5633.5,23
HKG,Resort Hotel,2594,3
HND,City Hotel,79,1
HRV,City Hotel,13125.59,23
HRV,Resort Hotel,1029.98,2
HUN,City Hotel,27052.23,68
HUN,Resort Hotel,7888.51,9
IDN,City Hotel,6206.3,22
IDN,Resort Hotel,2220,2
IMN,City Hotel,963.9,2
IND,City Hotel,17297.69,31
IND,Resort Hotel,2132,4
IRL,City Hotel,152347.72,400
IRL,Resort Hotel,259749.9,432
IRN,City Hotel,19309.19,23
ISL,City Hotel,2119.3999999999996,4
ISR,City Hotel,57716.21,157
ISR,Resort Hotel,6770.2,12
ITA,City Hotel,489749.85,1253
ITA,Resort Hotel,60682.05,80
JEY,City Hotel,1472.97,5
JEY,Resort Hotel,1102.4,3
JOR,City Hotel,892.8,3
JPN,City Hotel,8453.47,28
KAZ,City Hotel,1984.4,4
KAZ,Resort Hotel,2230,1
KEN,City Hotel,1381.44,2
KHM,City Hotel,792,2
KOR,City Hotel,16699.34,52
KOR,Resort Hotel,217,3
KWT,City Hotel,3108,5
KWT,Resort Hotel,125,1
LBN,City Hotel,2939.56,6
LBN,Resort Hotel,1394,3
LIE,City Hotel,394.4,1
LTU,City Hotel,2274.1,6
LTU,Resort Hotel,1332,1
LUX,City Hotel,32835.21,83
LUX,Resort Hotel,27390.81,26
LVA,City Hotel,2019.09,5
LVA,Resort Hotel,3582.2,4
MAC,City Hotel,5089.52,15
MAR,City Hotel,40153.2,73
