year,month,lost_revenue,bookings_cancelled
2015,julio,386657.5,1258
2015,agosto,560902.63,1598
2015,septiembre,611534.72,2086
2015,octubre,385491.2,1727
2015,noviembre,116279.89,486
2015,diciembre,243827.27,973
2016,enero,139173.47,557
2016,febrero,304054.57,1337
2016,marzo,454190.23,1476
2016,abril,626392.75,2061
2016,mayo,582462.03,1915
2016,junio,753684.41,2096
2016,julio,782873.99,1499
2016,agosto,1088210.81,1825
2016,septiembre,776119.1,2022
2016,octubre,767241.58,2514
2016,noviembre,448323.69,1636
2016,diciembre,468973.14,1398
2017,enero,357227.12,1250
2017,febrero,367376.65,1359
2017,marzo,527532.27,1672
2017,abril,984215.91,2463
2017,mayo,1130450.23,2762
2017,junio,1162411.95,2439
2017,julio,1315920.84,1984
2017,agosto,1378444.93,1816
